# Simulation 1 (Up to date),
# 855 data points written for 2 variables.,
# Simulation warnings:,
#   Open forward airframe (diameter > 0):  ""Transition""",
#,
# Mach number (​), Drag coefficient (​)
# Event IGNITION occurred at t=0 seconds,
# Event LAUNCH occurred at t=0 seconds,
0.008,0.693
0.008,0.692
0.008,0.691
0.009,0.69
0.009,0.688
0.009,0.686
0.009,0.683
# Event LIFTOFF occurred at t=0.07 seconds,
0.009,0.679
0.01,0.675
0.01,0.67
0.011,0.665
0.011,0.659
0.012,0.653
0.013,0.647
0.013,0.642
0.014,0.636
0.015,0.632
0.016,0.627
0.016,0.622
0.017,0.618
0.018,0.614
0.019,0.611
0.019,0.607
0.02,0.604
0.021,0.601
0.022,0.597
0.023,0.594
0.023,0.591
0.024,0.588
0.025,0.585
0.026,0.583
0.027,0.58
0.028,0.577
0.028,0.575
0.029,0.573
0.03,0.57
0.031,0.568
0.032,0.566
0.033,0.564
0.034,0.562
0.035,0.56
0.036,0.558
0.037,0.556
0.037,0.556
0.038,0.556
0.039,0.556
0.04,0.556
0.041,0.556
0.042,0.556
0.043,0.556
0.044,0.556
0.045,0.556
0.046,0.556
0.047,0.556
# Event LAUNCHROD occurred at t=0.54 seconds,
0.048,0.557
0.049,0.557
0.051,0.557
0.053,0.557
0.057,0.557
0.062,0.557
0.067,0.557
0.072,0.557
0.077,0.557
0.082,0.558
0.084,0.558
0.086,0.558
0.09,0.558
0.095,0.558
0.101,0.558
0.106,0.559
0.112,0.559
0.116,0.559
0.121,0.559
0.127,0.56
0.133,0.56
0.138,0.56
0.144,0.561
0.149,0.561
0.155,0.562
0.161,0.562
0.166,0.563
0.172,0.563
0.178,0.564
0.184,0.564
0.189,0.565
0.195,0.565
0.2,0.566
0.206,0.566
0.211,0.567
0.216,0.567
0.221,0.568
0.226,0.568
0.231,0.569
0.235,0.569
0.236,0.569
0.238,0.57
0.24,0.57
0.243,0.57
0.248,0.571
0.252,0.571
0.257,0.572
0.26,0.572
0.262,0.573
0.262,0.573
# Event BURNOUT occurred at t=2.67 seconds,
# Event STAGE_SEPARATION occurred at t=2.67 seconds,
0.262,0.52
0.26,0.52
0.258,0.52
0.257,0.519
0.255,0.519
0.253,0.519
0.251,0.519
0.249,0.519
0.248,0.518
0.246,0.518
0.244,0.518
0.242,0.518
0.241,0.518
0.239,0.518
0.237,0.517
0.235,0.517
0.234,0.517
0.232,0.517
0.23,0.517
0.228,0.517
0.227,0.516
0.225,0.516
0.223,0.516
0.221,0.516
0.22,0.516
0.218,0.516
0.216,0.516
0.215,0.515
0.213,0.515
0.211,0.515
0.21,0.515
0.208,0.515
0.206,0.515
0.205,0.515
0.203,0.514
0.201,0.514
0.2,0.514
0.198,0.514
0.196,0.514
0.195,0.514
0.193,0.514
# Event IGNITION occurred at t=4.67 seconds,
0.193,0.514
0.193,0.514
0.197,0.514
0.207,0.515
0.22,0.516
0.241,0.518
0.269,0.521
0.297,0.524
0.325,0.528
0.354,0.532
0.383,0.536
0.411,0.541
0.441,0.547
0.469,0.553
0.498,0.559
0.527,0.566
0.556,0.574
0.584,0.582
0.613,0.591
0.641,0.601
0.669,0.612
0.696,0.624
0.723,0.637
0.749,0.651
0.774,0.666
0.799,0.684
0.823,0.703
0.847,0.726
0.869,0.752
0.891,0.784
0.912,0.796
0.932,0.79
0.951,0.785
0.97,0.78
0.987,0.775
0.998,0.772
1.002,0.774
# Event BURNOUT occurred at t=6.37 seconds,
0.996,0.773
0.986,0.775
0.975,0.778
0.965,0.781
0.954,0.784
0.944,0.787
0.934,0.789
0.925,0.792
0.915,0.795
0.906,0.797
0.897,0.793
0.888,0.778
0.879,0.765
0.87,0.753
0.862,0.743
0.854,0.734
0.847,0.726
0.839,0.718
0.831,0.711
0.824,0.704
0.817,0.698
0.81,0.692
0.804,0.687
0.797,0.682
0.79,0.677
0.784,0.673
0.778,0.669
0.772,0.665
0.766,0.661
0.76,0.657
0.754,0.654
0.748,0.65
0.743,0.647
0.737,0.644
0.732,0.641
0.726,0.639
0.721,0.636
0.716,0.633
0.711,0.631
0.706,0.628
0.701,0.626
0.696,0.624
0.691,0.622
0.686,0.62
0.681,0.617
0.677,0.615
0.672,0.614
0.667,0.612
0.663,0.61
0.658,0.608
0.654,0.606
0.65,0.605
0.645,0.603
0.641,0.601
0.637,0.6
0.633,0.598
0.629,0.597
0.625,0.595
0.621,0.594
0.617,0.593
0.613,0.591
0.609,0.59
0.605,0.589
0.601,0.588
0.597,0.586
0.594,0.585
0.59,0.584
0.586,0.583
0.582,0.582
0.579,0.581
0.575,0.579
0.572,0.578
0.568,0.577
0.565,0.576
0.561,0.575
0.558,0.574
0.554,0.573
0.551,0.573
0.548,0.572
0.544,0.571
0.541,0.57
0.538,0.569
0.534,0.568
0.531,0.567
0.528,0.566
0.525,0.566
0.522,0.565
0.519,0.564
0.516,0.563
0.513,0.562
0.509,0.562
0.506,0.561
0.504,0.56
0.501,0.56
0.498,0.559
0.495,0.558
0.492,0.558
0.489,0.557
0.486,0.556
0.483,0.556
0.48,0.555
0.477,0.554
0.475,0.554
0.472,0.553
0.469,0.552
0.466,0.552
0.464,0.551
0.461,0.551
0.458,0.55
0.455,0.55
0.453,0.549
0.45,0.549
0.448,0.548
0.445,0.547
0.442,0.547
0.44,0.546
0.437,0.546
0.435,0.545
0.432,0.545
0.43,0.545
0.427,0.544
0.425,0.544
0.422,0.543
0.42,0.543
0.418,0.542
0.415,0.542
0.413,0.541
0.41,0.541
0.408,0.541
0.406,0.54
0.403,0.54
0.401,0.539
0.398,0.539
0.396,0.538
0.394,0.538
0.391,0.538
0.389,0.537
0.387,0.537
0.385,0.536
0.382,0.536
0.38,0.536
0.378,0.535
0.376,0.535
0.373,0.535
0.371,0.534
0.369,0.534
0.367,0.534
0.365,0.533
0.362,0.533
0.36,0.533
0.358,0.532
0.356,0.532
0.354,0.532
0.352,0.531
0.349,0.531
0.347,0.531
0.345,0.53
0.343,0.53
0.341,0.53
0.339,0.53
0.337,0.529
0.335,0.529
0.333,0.529
0.331,0.528
0.329,0.528
0.327,0.528
0.325,0.528
0.323,0.527
0.321,0.527
0.319,0.527
0.317,0.526
0.315,0.526
0.313,0.526
0.311,0.526
0.309,0.525
0.307,0.525
0.305,0.525
0.303,0.525
0.301,0.524
0.299,0.524
0.297,0.524
0.295,0.524
0.293,0.524
0.291,0.523
0.29,0.523
0.288,0.523
0.286,0.523
0.284,0.522
0.282,0.522
0.28,0.522
0.278,0.522
0.277,0.522
0.275,0.521
0.273,0.521
0.271,0.521
0.269,0.521
0.268,0.521
0.266,0.52
0.264,0.52
0.263,0.52
0.261,0.52
0.259,0.52
0.257,0.519
0.255,0.519
0.254,0.519
0.252,0.519
0.25,0.519
0.248,0.519
0.247,0.518
0.245,0.518
0.243,0.518
0.241,0.518
0.24,0.518
0.238,0.518
0.236,0.517
0.235,0.517
0.233,0.517
0.231,0.517
0.229,0.517
0.228,0.517
0.226,0.516
0.224,0.516
0.223,0.516
0.221,0.516
0.219,0.516
0.218,0.516
0.216,0.516
0.214,0.515
0.213,0.515
0.211,0.515
0.21,0.515
0.208,0.515
0.206,0.515
0.205,0.515
0.203,0.514
0.201,0.514
0.2,0.514
0.198,0.514
0.196,0.514
0.195,0.514
0.193,0.514
0.192,0.514
0.19,0.513
0.188,0.513
0.187,0.513
0.185,0.513
0.184,0.513
0.182,0.513
0.181,0.513
0.179,0.513
0.178,0.513
0.176,0.512
0.175,0.512
0.173,0.512
0.172,0.512
0.17,0.512
0.169,0.512
0.167,0.512
0.166,0.512
0.164,0.512
0.163,0.512
0.161,0.511
0.16,0.511
0.158,0.511
0.156,0.511
0.155,0.511
0.153,0.511
0.151,0.511
0.15,0.511
0.149,0.511
0.147,0.511
0.146,0.511
0.144,0.51
0.143,0.51
0.141,0.51
0.14,0.51
0.138,0.51
0.137,0.51
0.136,0.51
0.134,0.51
0.133,0.51
0.131,0.51
0.13,0.51
0.128,0.51
0.127,0.51
0.126,0.509
0.124,0.509
0.123,0.509
0.121,0.509
0.12,0.509
0.119,0.509
0.117,0.509
0.116,0.509
0.114,0.509
0.113,0.509
0.111,0.509
0.11,0.509
0.108,0.509
0.107,0.509
0.105,0.509
0.105,0.509
0.104,0.508
0.102,0.508
0.101,0.508
0.1,0.508
0.099,0.508
0.097,0.508
0.096,0.508
0.095,0.508
0.094,0.508
0.092,0.508
0.091,0.508
0.09,0.508
0.089,0.508
0.088,0.508
0.087,0.508
0.086,0.508
0.085,0.508
0.084,0.508
0.083,0.508
# Event EJECTION_CHARGE occurred at t=22.37 seconds,
0.082,0.508
0.081,0.508
0.079,0.508
0.078,0.508
0.077,0.508
0.076,0.508
0.075,0.507
0.074,0.507
0.074,0.507
0.073,0.507
0.072,0.507
0.072,0.507
0.07,0.507
0.069,0.507
0.068,0.507
0.067,0.507
0.066,0.507
0.065,0.507
0.064,0.507
0.064,0.507
0.063,0.507
0.062,0.507
0.062,0.507
0.061,0.507
0.061,0.507
0.061,0.507
0.06,0.507
0.059,0.507
0.059,0.507
0.058,0.507
0.057,0.507
0.057,0.507
0.056,0.507
0.055,0.507
0.055,0.507
0.055,0.507
0.055,0.507
0.056,0.507
0.056,0.507
0.056,0.507
0.055,0.507
# Event APOGEE occurred at t=24.42 seconds,
0.055,0.507
# Event RECOVERY_DEVICE_DEPLOYMENT occurred at t=24.421 seconds,
0.055,32.941
0.053,32.941
0.052,32.941
0.051,32.941
0.05,32.941
0.049,32.941
0.048,32.941
0.048,32.941
0.047,32.941
0.048,32.941
0.048,32.941
0.048,32.941
0.048,32.941
0.049,32.941
0.05,32.941
0.051,32.941
0.051,32.941
0.052,32.941
0.054,32.941
0.055,32.941
0.058,32.941
0.059,32.941
0.06,32.941
0.062,32.941
0.063,32.941
0.064,32.941
0.066,32.941
0.066,32.941
0.066,32.941
0.067,32.941
0.067,32.941
0.067,32.941
0.067,32.941
0.067,32.941
0.067,32.941
0.067,32.941
0.067,32.941
0.066,32.941
0.066,32.941
0.066,32.941
0.066,32.941
0.066,32.941
0.066,32.941
0.066,32.941
0.066,32.941
0.066,32.941
0.066,32.941
0.066,32.941
0.066,32.941
0.066,32.941
0.066,32.941
0.066,32.941
0.066,32.941
0.066,32.941
0.066,32.941
0.066,32.941
0.066,32.941
0.066,32.941
0.066,32.941
0.065,32.941
0.065,32.941
0.065,32.941
0.065,32.941
0.065,32.941
0.065,32.941
0.065,32.941
0.065,32.941
0.065,32.941
0.065,32.941
0.065,32.941
0.065,32.941
0.065,32.941
0.065,32.941
0.065,32.941
0.065,32.941
0.065,32.941
0.065,32.941
0.065,32.941
0.065,32.941
0.065,32.941
0.065,32.941
0.065,32.941
0.064,32.941
0.064,32.941
0.064,32.941
0.064,32.941
0.064,32.941
0.064,32.941
0.064,32.941
0.064,32.941
0.064,32.941
0.064,32.941
0.064,32.941
0.064,32.941
0.064,32.941
0.064,32.941
0.064,32.941
0.064,32.941
0.064,32.941
0.064,32.941
0.064,32.941
0.064,32.941
0.064,32.941
0.064,32.941
0.064,32.941
0.064,32.941
0.063,32.941
0.063,32.941
0.063,32.941
0.063,32.941
0.063,32.941
0.063,32.941
0.063,32.941
0.063,32.941
0.063,32.941
0.063,32.941
0.063,32.941
0.063,32.941
0.063,32.941
0.063,32.941
0.063,32.941
0.063,32.941
0.063,32.941
0.063,32.941
0.063,32.941
0.063,32.941
0.063,32.941
0.063,32.941
0.063,32.941
0.063,32.941
0.062,32.941
0.062,32.941
0.062,32.941
0.062,32.941
0.062,32.941
0.062,32.941
0.062,32.941
0.062,32.941
0.062,32.941
0.062,32.941
0.062,32.941
0.062,32.941
0.062,32.941
0.062,32.941
0.062,32.941
0.062,32.941
0.062,32.941
0.062,32.941
0.062,32.941
0.062,32.941
0.062,32.941
0.062,32.941
0.062,32.941
0.062,32.941
0.062,32.941
0.061,32.941
0.061,32.941
0.061,32.941
0.061,32.941
0.061,32.941
0.061,32.941
0.061,32.941
0.061,32.941
0.061,32.941
0.061,32.941
0.061,32.941
0.061,32.941
0.061,32.941
0.061,32.941
0.061,32.941
0.061,32.941
0.061,32.941
0.061,32.941
0.061,32.941
0.061,32.941
0.061,32.941
0.061,32.941
0.061,32.941
0.061,32.941
0.061,32.941
0.061,32.941
0.061,32.941
0.06,32.941
0.06,32.941
0.06,32.941
0.06,32.941
0.06,32.941
0.06,32.941
0.06,32.941
0.06,32.941
0.06,32.941
0.06,32.941
0.06,32.941
0.06,32.941
0.06,32.941
0.06,32.941
0.06,32.941
0.06,32.941
0.06,32.941
0.06,32.941
0.06,32.941
0.06,32.941
0.06,32.941
0.06,32.941
0.06,32.941
0.06,32.941
0.06,32.941
0.06,32.941
0.06,32.941
0.059,32.941
0.059,32.941
0.059,32.941
0.059,32.941
0.059,32.941
0.059,32.941
0.059,32.941
0.059,32.941
0.059,32.941
0.059,32.941
0.059,32.941
0.059,32.941
0.059,32.941
0.059,32.941
0.059,32.941
0.059,32.941
0.059,32.941
0.059,32.941
0.059,32.941
0.059,32.941
0.059,32.941
0.059,32.941
0.059,32.941
0.059,32.941
0.059,32.941
0.059,32.941
0.059,32.941
0.059,32.941
0.058,32.941
0.058,32.941
0.058,32.941
0.058,32.941
0.058,32.941
0.058,32.941
0.058,32.941
0.058,32.941
0.058,32.941
0.058,32.941
0.058,32.941
0.058,32.941
# Event RECOVERY_DEVICE_DEPLOYMENT occurred at t=140.28 seconds,
0.058,107.057
0.055,107.057
0.052,107.057
0.049,107.057
0.046,107.057
0.043,107.057
0.04,107.057
0.037,107.057
0.035,107.057
0.032,107.057
0.032,107.057
0.032,107.057
0.032,107.057
0.032,107.057
0.032,107.057
0.032,107.057
0.032,107.057
0.032,107.057
0.032,107.057
0.032,107.057
0.032,107.057
0.032,107.057
0.032,107.057
0.032,107.057
0.032,107.057
0.032,107.057
0.032,107.057
0.032,107.057
0.032,107.057
0.032,107.057
0.032,107.057
0.032,107.057
0.032,107.057
0.032,107.057
0.032,107.057
0.032,107.057
0.032,107.057
0.032,107.057
0.032,107.057
0.032,107.057
0.032,107.057
0.032,107.057
0.032,107.057
0.032,107.057
0.032,107.057
0.032,107.057
0.032,107.057
0.032,107.057
0.032,107.057
0.032,107.057
0.032,107.057
0.032,107.057
0.032,107.057
0.032,107.057
0.032,107.057
0.032,107.057
0.032,107.057
0.032,107.057
0.032,107.057
0.032,107.057
0.032,107.057
# Event GROUND_HIT occurred at t=167.393 seconds,
# Event SIMULATION_END occurred at t=167.393 seconds,
0.032,107.057